CSCRCD,PINCODE,CITY,BDEL_LOC,STATE,COD,SURFACEPP,Mode
ADU,735214,ALIPURDUAR OFFICE,ALIPURDUAR OFFICE,WEST BENGAL,Yes,Yes,Surface
ANT,110001,NEW DELHI,ANTARIKSH,DELHI,No,Yes,Apex
